Start Date,End Date,PlayerID,Table Name,Game Type,Table Type,Stakes
6/1/2017 5:43:00 PM,6/1/2017 5:50:00 PM,TonyT,Amy,Cash Game,Holdem - NL - 6 Max,$0.25/$0.50
6/1/2017 5:49:00 PM,6/1/2017 7:56:00 PM,TonyT,Oisin,Cash Game,Omaha - PL,$0.10/$0.25
6/1/2017 5:50:00 PM,6/1/2017 7:52:00 PM,MakingBacon,Onyx,Cash Game,Omaha - PL,$0.10/$0.25
6/1/2017 5:52:00 PM,6/1/2017 8:00:00 PM,TonyT,Onyx,Cash Game,Omaha - PL,$0.10/$0.25
6/1/2017 5:56:00 PM,6/1/2017 8:04:00 PM,MakingBacon,Oisin,Cash Game,Omaha - PL,$0.10/$0.25
6/1/2017 5:57:00 PM,6/1/2017 8:06:00 PM,army1234,Onyx,Cash Game,Omaha - PL,$0.10/$0.25
6/1/2017 6:04:00 PM,6/1/2017 8:12:00 PM,army1234,Oisin,Cash Game,Omaha - PL,$0.10/$0.25
6/1/2017 6:04:00 PM,6/2/2017 10:11:00 PM,Lightman,Onyx,Cash Game,Omaha - PL,$0.10/$0.25
6/1/2017 6:12:00 PM,6/1/2017 6:39:00 PM,TonyT,Hugh,Cash Game,Holdem - NL - 6 Max,$1/$2
6/1/2017 6:12:00 PM,6/1/2017 6:45:00 PM,MakingBacon,Hugh,Cash Game,Holdem - NL - 6 Max,$1/$2
6/1/2017 6:15:00 PM,6/1/2017 6:46:00 PM,army1234,Hugh,Cash Game,Holdem - NL - 6 Max,$1/$2
